INFO : 2018-01-29 23:54:09,243 : Searching files naming sales
DEBUG : 2018-01-29 23:54:23,731 : FOLDER::: d:/MisDocs\Java Master Application Developer\1. Construyendo Capa Modelo Vista Controlador (MVC) con Struts2, JSF y PrimeFaces\Instructor\05 Aplicaciones JSF 
DEBUG : 2018-01-29 23:54:23,731 : FOLDER::: d:/MisDocs\Java Master Application Developer\1. Construyendo Capa Modelo Vista Controlador (MVC) con Struts2, JSF y PrimeFaces\Instructor\Instructor\05 Aplicaciones JSF 
DEBUG : 2018-01-29 23:54:23,731 : FOLDER::: d:/MisDocs\Java Master Application Developer\2. Construyendo Capa de Persistencia con Ibatis e Hibernate\Alumno\03   MyBatis – Otras operaciones 
DEBUG : 2018-01-29 23:54:23,747 : FOLDER::: d:/MisDocs\Java Master Application Developer\2. Construyendo Capa de Persistencia con Ibatis e Hibernate\Instructor\03 MyBatis - Otras operaciones 
DEBUG : 2018-01-29 23:54:24,028 : FOLDER::: d:/MisDocs\trabajos\concytec\20131113.ventanilla\ventanilla\web\created\tblFormularioPublicaciones 
DEBUG : 2018-01-29 23:54:24,028 : FOLDER::: d:/MisDocs\trabajos\concytec\20131113.ventanilla\ventanilla\web\created\tblInstitucionesAsociadas 
DEBUG : 2018-01-29 23:54:24,028 : FOLDER::: d:/MisDocs\trabajos\concytec\20131113.ventanilla\ventanilla\web\created\tblSubvencionesxusuario 
DEBUG : 2018-01-29 23:54:24,091 : FOLDER::: d:/MisDocs\trabajos\concytec\20131113.ventanilla\ventanilla\web\postulantes\publicaciones 
DEBUG : 2018-01-29 23:54:24,481 : FOLDER::: d:/MisDocs\trabajos\institui\scss\foundation\components 
DEBUG : 2018-01-29 23:54:24,513 : FOLDER::: d:/MisDocs\trabajos\neco\indicadores\codigo\theme\plugins\input-mask\phone-codes 
DEBUG : 2018-01-29 23:54:24,794 : FOLDER::: d:/MisDocs\trabajos\sunass\sunass\pantallas__eps\obligaciones 
DEBUG : 2018-01-29 23:54:24,794 : FOLDER::: d:/MisDocs\trabajos\sunass\sunass\pantallas__eps\opciones 
DEBUG : 2018-01-29 23:54:24,794 : FOLDER::: d:/MisDocs\trabajos\sunass\sunass\pantallas__sunass\obligaciones 
DEBUG : 2018-01-29 23:54:24,888 : FOLDER::: d:/Musica\Shakira\Dónde Están los Ladrones- 
DEBUG : 2018-01-29 23:54:25,140 : FOLDER::: d:/respaldo\xampp\htdocs\ccmp\wp-content\themes\open\versiones 
